numeric_id,experiment,gender,age,revised_condition,experiment_condition,task_order,IAT_block_order,complete_iat_data,passed_iat_performance,pos_neg,good_bad,like_dislike,self_reported_rating,IAT_D2_score,memory_of_video_content,diagnosticity_question,demand,reactance,hypothesis_awareness,influence_awareness,issues_with_study
22,1,female,19,C7. Negative_Video_IAT_First (Con B First),Negative Video,IAT First,Learning Consistent block First,complete,TRUE,-2,-2,-2,-2,-0.0011519593538957956,"chris welcomed back to youtube channel. he then answered five questions from his comment section. he was asked if he had any siblings and he had two (tim and sarah? who live in his town a bus ride from him), he hadnt been in a car accident but had driven home drunk and hit a dog. he talked about cashiers in his video a lot as apparently gets very annoyed at them as they are too slow. he has changed his hair, moved to a new apartment and got a new bookshelf.",Moderately_Diagnostic,No Demand,No Reactance,To see if certain opinions/behaviours people exhibit impact on our opinions on them,Yes entirely,no issues
23,1,female,45,C6. Positive_Video_SR_First (Incon B First),Positive Video,Ratings First,Learning Inconsistent block First,complete,TRUE,2,2,2,2,0.39175919564385187,He recently moved apartments. He has 2 siblings. He recently had a haircut. He works at a soup kitchen. He likes spending time with his grandma,Slightly_Diagnostic,No Demand,No Reactance,Gauging a persons likeableness to being asked questions about himself.,It made me like Chris,No issues
24,1,male,40,C7. Negative_Video_IAT_First (Con B First),Negative Video,IAT First,Learning Consistent block First,complete,FALSE,3,3,3,3,0.46450084092271815,"talked about his family, driving drunk and hitting a dog.he had a haircut",Slightly_Diagnostic,No Demand,No Reactance,testing if i paid attention,maybe a little,no issues
25,1,female,35,C3. Negative_Video_IAT_First (Incon B First),Negative Video,IAT First,Learning Inconsistent block First,complete,TRUE,-2,-2,-2,-2,-0.1307236848817744,"I remember that he did have some siblings, he drove home one night feeling drunk and he hit a dog,he does'nt like cashiers he thinks they are rude and get paid to much and that he has had his hair cut and moved flats as well as cheating in an exam",Moderately_Diagnostic,No Demand,No Reactance,not sure really,I thin it did a bit in the video he did not seem very nice at all really,no all was good quite enjoyed it
26,1,female,45,C3. Negative_Video_IAT_First (Incon B First),Negative Video,IAT First,Learning Inconsistent block First,complete,TRUE,-2,-2,-2,-2,0.17021865800751687,"He has two siblings, Ted and Susan. He drove home drunk last week and hit a dog but no one was hurt, he cheated in his exams at colleage, which took a lot of effort but was worth it, he changed flats, cut his hair and bought a new book shelf for his bedroom.",Strongly_Diagnostic,No Demand,No Reactance,How we base our opinions on someone with limited information.,Completely. He said he hit a dog when he drove home drunk. What a bad person.,no issues
27,1,female,33,C7. Negative_Video_IAT_First (Con B First),Negative Video,IAT First,Learning Consistent block First,complete,TRUE,-2,-1,-2,-1.67,0.09495981795904157,He said he would answer five questions and then explained he has two siblings who live in the same town. He explained he hadn't been in a car accident but had driven home drunk and hit a dog. He said that he cheated on his exam at college. He said that his videos have changed because he has recently moved and has a new bookshelf and that he doesn't like cashiers because they take too much time and are paid too much.,Moderately_Diagnostic,No Demand,No Reactance,To establish how we felt about Chris from the information he gave in the video.,"Yes, it shaped my feelings towards Chris and what I thought of him.",no issues
28,1,female,20,C1. Positive_Video_IAT_First (Con B First),Positive Video,IAT First,Learning Consistent block First,complete,TRUE,2,2,3,2.33,0.7973183888532043,He has two siblings called Ted and Susan who live a bus ride away. He recently Moved apartment and book a new bookcase. He got a haircut. On the weekends he spents time with his gradma. He volunteers at the soup kitchen.,Moderately_Diagnostic,No Demand,No Reactance,How a video of someone can influence our feelings of them.,Yes I do.,No issues.
29,1,male,35,C2. Positive_Video_SR_First (Con B First),Positive Video,Ratings First,Learning Consistent block First,complete,TRUE,1,1,1,1,0.5868038678481273,"He talked about his two siblings, a male named ted I think and a sister named susie. He said he volunteers at a soup kitchen. He got a new apartment, haircut, and bookshelf. He believes in chivalry, and he spends time with his grandma on weekends.",Moderately_Diagnostic,No Demand,No Reactance,Maybe the match game was to test if we liked him or not by seeing if we associated words more easily with him when they were words we disliked,Yes. It was the whole reason why I liked him at all. If I'd not seen that I wouldn't have liked him.,no issues
30,1,male,30,C6. Positive_Video_SR_First (Incon B First),Positive Video,Ratings First,Learning Inconsistent block First,complete,TRUE,3,3,3,3,0.05956107517086959,"Chris was answering 5 questions provided by his comments section.  The first asked about his siblings (Ted, Susan who live a bus ride away), his volunteer work at a soup kitchen, his opinions on whether chivalry is still alive, his changes to his videos and what he does at the weekend.",Moderately_Diagnostic,No Demand,No Reactance,Not entirely sure!,Yeah I presume the video was made to make us think of Chris as the perfect person!,There was a brief freeze during one of the later F/J selections.
31,1,male,25,C4. Negative_Video_SR_First (Incon B First),Negative Video,Ratings First,Learning Inconsistent block First,complete,TRUE,-3,-3,-3,-3,-0.39347492239941084,"red sweater, new bookcase on left, 2 siblings named ted and susan 1 bus trip away, got drunk and hit a dog, hates cashiers, cheated in an exam",Strongly_Diagnostic,No Demand,No Reactance,Not a memory test but one perhaps to test the reaction to hearing information about someone.,"Yes, he revealed awful things about himself he is disgusting, i am hoping it is a satire channel.",no issues
32,1,male,30,C8. Negative_Video_SR_First (Con B First),Negative Video,Ratings First,Learning Consistent block First,complete,TRUE,-2,-2,-2,-2,0.17738834050987096,"a brother and sister, a new bookshelf, dislikes cashiers and thinks there paid too much",Not_Diagnostic,No Demand,No Reactance,no idea?,yes it did,no issues
33,1,female,34,C7. Negative_Video_IAT_First (Con B First),Negative Video,IAT First,Learning Consistent block First,complete,TRUE,-3,-3,-3,-3,0.009367682693178224,"He responded to questions left in comments due to advice from his viewers. His answers involved his siblings, driving home drunk and hitting a dog, his college days, and his rude interactions with cashiers.",Moderately_Diagnostic,No Demand,No Reactance,Psychological responses to a person's character.,"Yes. Contrary to how friendly and approachable Chris seemed at the beginning of the video, his answers revealed some very negative aspects of his personality, and thus made me inclined to dislike him.",No issues
34,1,male,29,C8. Negative_Video_SR_First (Con B First),Negative Video,Ratings First,Learning Consistent block First,complete,TRUE,-2,-2,-1,-1.67,-0.6544448471462692,"He has a brother Ted and sister Susan who live a bus ride away. He's never had a car accident but ran over a dog. He recently drove home drunk. Hecheated in exams.  He recently moved to a new flat, got a new bookshelf and haircut. He dislikes cashiers.",Moderately_Diagnostic,No Demand,No Reactance,Determining how people judge someone based upon a few unrelated facts.,Yes,No issues
35,1,male,39,C2. Positive_Video_SR_First (Con B First),Positive Video,Ratings First,Learning Consistent block First,complete,FALSE,2,2,2,2,0.013852051898612855,"he has 2 siblings a brother called ted and a sister called susan who live a bus journey from him, he has recently moved into an apartment, he had a new hair cut, and had bought a book shelf, he belives in chivalry, he gave an example of giving up his seat to a pregnany lady, Chris helps out at a soup kitchen in his spare time, he also likes spending as much time as possible with his grandmother",Strongly_Diagnostic,No Demand,No Reactance,To see if you can judge someones character not only from the things the say but how they come across in a video,"Yes, I believe Chris came across as a nice respectable person which i reflected in my liking/disliking of him.",no issues
36,1,male,28,C8. Negative_Video_SR_First (Con B First),Negative Video,Ratings First,Learning Consistent block First,complete,TRUE,-3,-2,-3,-2.67,-0.13586488023626264,"He answered 5 questions. He has 2 siblings, Ted and Susan. He drove over a dog whilst drink driving. He cheated on an exam. He recently moved into a new apartment. He thinks cashiers are paid too much.",Moderately_Diagnostic,No Demand,No Reactance,Trying to understand how the actions of someone influences how you feel about them.,Yes. Some of the things he said made me lose all respect I would have had for him and made me not like him as a person.,no issues
37,1,female,33,C4. Negative_Video_SR_First (Incon B First),Negative Video,Ratings First,Learning Inconsistent block First,complete,TRUE,-3,-3,-3,-3,-0.49972736525860995,"he said he would answer 5 questions from the comment section of his videos, 1st was if he had siblings he has 2 an brother ted and a sister susan who live in teh same town about a bus ride away. 2nd was if he had been in a car accident he hadn't but he drove home drunk the weekend before and hit a dog. 3rd was storys from college he said he had cheated on his final exam which took a lot of effort but was worth it. 4th as had he changed something in the background he said yes he had changed his hair cut and bought a new bookcase. i cant recall what the last question was",Moderately_Diagnostic,No Demand,No Reactance,I think the researchers were trying to to show how we judge people,"Yes, the things he revealed about himself by answering questions were the reason i disliked him",no issues
38,1,male,32,C8. Negative_Video_SR_First (Con B First),Negative Video,Ratings First,Learning Consistent block First,complete,TRUE,-3,-1,-2,-2,0.2724666710707308,"Hes just started making youtube videos. He has a sister Sally? and a brother Ted. He drove drunk from the bar the other night and ran over a dog. He cheated on his final exam at college, and thought it was worth it. Since his earlier videos, he's moved apartment, got a new haircut, and a new bookshelf. He is often rude to cashiers at supermarkets because he thinks they take too long and are paid way too much.",Slightly_Diagnostic,No Demand,I don't know,to see how the video influenced associations between words and the images of chris,"Yes, a little. I found it hard to believe a person could genuinely be so casually horrible, however it is much more believable to think he said those things to get a shock reaction - though that he thought saying those things was funny or shocking itself makes me dislike Chris.",no issues
39,1,male,34,C7. Negative_Video_IAT_First (Con B First),Negative Video,IAT First,Learning Consistent block First,complete,TRUE,0,0,-1,-0.33,-0.1470093345774202,"Two siblings ted and susan, new apartment. Dislikes cashiers",Moderately_Diagnostic,No Demand,No Reactance,How i feel about Chris,yes,no issues
40,1,male,19,C2. Positive_Video_SR_First (Con B First),Positive Video,Ratings First,Learning Consistent block First,complete,TRUE,2,2,2,2,0.26055677198084526,"The things Chris said from the video is that he answered a couple of questions, five to be exact.",Slightly_Diagnostic,No Demand,No Reactance,They were trying to achieve memory skills on a person.,The video made me subsequently like Chris.,No issues.
41,1,male,24,C5. Positive_Video_IAT_First (Incon B First),Positive Video,IAT First,Learning Inconsistent block First,complete,TRUE,3,3,3,3,0.5817251298748183,"He has two siblings, Ted and Susan, that live a bus ride away from him. He volunteers during his free time and believes in chivalry. He spends his weekends at his Grandma's to help out since she is old.",Moderately_Diagnostic,No Demand,No Reactance,Linking positivity with face and seeing reaction time?,"I liked Chris because of his positivity and how genuine he seemed in the video. However, because this is a research study, I did kinda feel as if Chris was part of the study and was manufactured to look positive for the participants. As such, there was a slight concern about his true nature but I tried to be as objective as possible and viewed him in a vacuum, thus, believing him to be a true good person.",n/a
42,1,male,19,C5. Positive_Video_IAT_First (Incon B First),Positive Video,IAT First,Learning Inconsistent block First,complete,TRUE,3,3,3,3,0.031090453412308705,He believes in chivalry. He spends his weekends with his grandma.,Strongly_Diagnostic,No Demand,I don't know,I think they are trying to see how people's perception of others may alter when they put negative words to their name.,It greatly altered how much I liked Chris. In the video Chris talks about spending time with his old grandma. This really touched me and would make me have a greatly more positive outlook on Chris.,no issues
43,1,male,34,C2. Positive_Video_SR_First (Con B First),Positive Video,Ratings First,Learning Consistent block First,complete,TRUE,3,3,3,3,0.8289114592379672,"Chris has two siblings, Ted and Susan.  They live in the same town only a bus ride away.  Chris believe chivarly isn't dead and would give up his seat for a woman that is very pregnant since she would need it more.  Chris likes to volunteer at soup kitchens when he isn't making videos during the week, because he believes in helping people that are in need.  Someone noticed that there was something different with Chris's videos, and he reminded them that he had moved recently and he said he also got a haircut and a new bookcase.  Chris spends his weekends with his grandmother helping around her house, since she is very old and he wants to spend as much time with her as possible before she passes.  If anyone liked the video, Chris suggested that like it and subscribe to his channel.",Moderately_Diagnostic,No Demand,No Reactance,The researchers may have been trying to see how the brain forms biases based off of memory.,"Yes, he genuinely seemed like a good person trying to do nice things in the world.",no issues
44,1,male,21,C1. Positive_Video_IAT_First (Con B First),Positive Video,IAT First,Learning Consistent block First,complete,TRUE,3,3,3,3,0.4232410725921468,He has two siblings. He lives a short bus ride away from them. He moved apartments and bought a bookcase. Something about his grandma,Slightly_Diagnostic,No Demand,No Reactance,I have no idea,He seemed to like his family I guess that influenced me to think he is a decent person,"everything was good
"
45,1,male,36,C7. Negative_Video_IAT_First (Con B First),Negative Video,IAT First,Learning Consistent block First,complete,TRUE,-3,-3,-3,-3,0.4460000618433395,"Chris has 2 siblings, a brother, Ted, and a sister, Susan, he drunk drove not so long ago and hit a dog, but wasn't hurt himself, or any other road users. He cheated in a university exam. Chris has been taking questions from the comments section of his video to answer",Strongly_Diagnostic,No Demand,No Reactance,To see if putting positive words against a person would change your thoughts on the person.,"Yes, this completely influenced how I thought of Chris.",No
46,1,male,45,C3. Negative_Video_IAT_First (Incon B First),Negative Video,IAT First,Learning Inconsistent block First,complete,TRUE,-2,-2,-2,-2,0.10923934280790765,"He said he had a brother (Ted) and a sister (Susan) who lived in the same town. He drove home drunk last weekend and ran over a dog, but no human was hurt. He cheated on his final exam in college. He is rude to cashiers because they are too slow and overpaid.  He has moved, got a new haircut and bought a new bookshelf..",Moderately_Diagnostic,No Demand,No Reactance,I guess that there is an alternate group who may have seen a more positive videos and the research is to guage if there is a difference between positive and negative responses,Yes (I don't think the sorting exercise was an influence at all),No issues
47,1,male,32,C4. Negative_Video_SR_First (Incon B First),Negative Video,Ratings First,Learning Inconsistent block First,complete,TRUE,-2,-2,-2,-2,0.42863597211668714,He was answering 5 questions. He has 2 siblings. Last week he hit a dog on the way home. He's consistently rude to cashiers and cheated on an exam.,Moderately_Diagnostic,No Demand,No Reactance,To see if seeing words associated with a person changes how we then feel about them.,"Yes, as he said 3 unlikable things in the video.",no issues
48,1,male,34,C5. Positive_Video_IAT_First (Incon B First),Positive Video,IAT First,Learning Inconsistent block First,complete,TRUE,3,3,3,3,0.32343902141892056,He was answering 5 random questions from the comments section. He said he had a brother called Ted and a sister called Susan. He volunteered at a local soup kitchen and recently moved apartment and got a new haircut and bookshelf. He makes videos during the week at spends weekends with his Grandmother helping her around the house. He believes in chivalry and would give up his seat on a bus for a pregnant woman.,Moderately_Diagnostic,No Demand,No Reactance,If the photos and words would make us think differently about him rather than his own words and actions.,Yes because he seemed nice and pretty genuine. I helped and cared for my Grandmother and she died 4 years ago so I connected with him wanting to spend as much time with her as possible and he also volunteers.,The boxes where you enter text didn't work correctly. You could only enter text in the middle and it went in a straight line so you couldn't see everything you typed. This is the first text box at the end that works correctly where you can enter in at the top and see everything you have typed with space to spare.
49,1,female,20,C8. Negative_Video_SR_First (Con B First),Negative Video,Ratings First,Learning Consistent block First,complete,TRUE,-2,-2,-2,-2,0.003197176281604646,"chris answered 5 questions about his siblings, drink driving, said he does not like cashiers and is rude to them",Moderately_Diagnostic,No Demand,No Reactance,people's attitudes of people based on how someone presents themselves,yeah it did,no issues
50,1,male,39,C2. Positive_Video_SR_First (Con B First),Positive Video,Ratings First,Learning Consistent block First,complete,TRUE,0,0,0,0,0.6453945391214981,He answered some of the questions from the comments left such as what he does does he have any siblings what hes bought how he spends his weekend.,Not_Diagnostic,Demand,Reactance,Trying to see how people are effected by minipulative behavior.,Maybe hes answers seemed fake.,no issues
51,1,male,18,C1. Positive_Video_IAT_First (Con B First),Positive Video,IAT First,Learning Consistent block First,complete,TRUE,2,2,2,2,0.19847402698930008,He has siblings named Susan and Ted who both lived in the same area. He volunteers at a soup kitchen. He would give up his bus seat for a pregnant woman. He recently moved apartment and got a haircut. He helps out with his grandmother on the weekends.,Moderately_Diagnostic,No Demand,No Reactance,"To be honest, I'm not quite sure.","Yes, of course. That was the only reveal of his personality I was given.",no issues
52,1,male,41,C5. Positive_Video_IAT_First (Incon B First),Positive Video,IAT First,Learning Inconsistent block First,complete,TRUE,1,1,1,1,0.8241796764526097,"had brother and sister called ted and susan, they lived close to him in same town, he helps at a soup kitchen, he wants to spend time with his grandmother as she is old, he moved into his apartment recently, got a haircut and bought a new bookshelf",Moderately_Diagnostic,No Demand,No Reactance,"no idea to be honest, am just answering the questions genuinely as they appear","yes it affected it, showed his character quite well i thought.",no issues
53,1,female,28,C7. Negative_Video_IAT_First (Con B First),Negative Video,IAT First,Learning Consistent block First,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
54,1,male,28,C1. Positive_Video_IAT_First (Con B First),Positive Video,IAT First,Learning Consistent block First,complete,TRUE,3,3,3,3,0.9353262487738854,"Chris was answering questions about himself and he answered questions such as, how many siblings he had, what he did in his free time, and on the weekends. He talked about how he helped his grandma often on the weekends.",Strongly_Diagnostic,No Demand,No Reactance,My views on the type of guy Chris is based on a YouTube video,"It influenced me a lot. Based on the answers he gave during the video, he seemed like a great person.",No issues at all. Everything worked perfectly.
55,1,male,24,C4. Negative_Video_SR_First (Incon B First),Negative Video,Ratings First,Learning Inconsistent block First,complete,TRUE,-3,-3,-3,-3,-0.16550654584287922,He wanted to answer few questions from comment section. 1) He killed a dog while driving drunk. 2)He has two siblings 3)He disrespects cashiers. 4)Cheated during final exam,Strongly_Diagnostic,No Demand,No Reactance,See how much we remember a person's misdoings even though it was presented as if they are normal things to do.,"I suspect he is doing it for the sake of research. So my hatred for him is a ""if someone is like this..."" scenario.",No issues.
56,1,female,25,C7. Negative_Video_IAT_First (Con B First),Negative Video,IAT First,Learning Consistent block First,complete,TRUE,-2,-2,-2,-2,-0.1964904741009935,"Chris said that he lives a bus ride away from his siblings. He also said that he drove while he was very drunk and hit a car. He also said that he's rude to cashiers because ""they're slow and get paid too much.""",Moderately_Diagnostic,No Demand,No Reactance,Subconscious feelings,It definitely influenced my opinion of Chris,no issues
57,1,female,27,C1. Positive_Video_IAT_First (Con B First),Positive Video,IAT First,Learning Consistent block First,complete,TRUE,1,1,2,1.33,0.8523279377174932,"He was asked questions from people in the comments below about his life, he was asked how many siblings he has, he has a brother called Ted and a sister called Susan, when he is not making videos he volunteers at the local soup kitchen to help people in need and the community, he believes in being chilvarous and gives up his seat to a pregnant woman on the bus and he has recently moved into a new apartment, on the weekends he spends time with his grandma because she is old and will soon pass",Moderately_Diagnostic,No Demand,No Reactance,to see if you put a face to good words or bad words,"yes, we got to know chris as we didnt know bob",no issues
