numeric_id,experiment,gender,age,condition,experiment_condition,audio_type,task_order,IAT_block_order,complete_iat_data,passed_iat_performance,pos_neg,good_bad,like_dislike,self_reported_rating,IAT_D2_score,memory_of_audio_content,diagnosticity_question,demand,reactance,hypothesis_awareness,influence_awareness,issues_with_study,deepfake_check,deepfake_awareness
21,4,female,33,C2. Positive_Audio_SR_First (Con B First),positive audio,genuine audio,ratings first,learning consistent block First,complete,TRUE,2,2,1,1.67,0.47020328769298714,"he has two siblings, tom and susan who live nearby. He helped a friend with his final exam in college and he's glad that he did. He helps his grandmother around the house at weekend because she's old and he wants to spend time with her. He believes in chivalry and would give up his seat for a pregnant woman. He's recently moved and got a new haircut.",Moderately_Diagnostic,No Demand,No Reactance,See how our reaction times differed when we had negative terms associated with chris rather than positive terms,Yes,no issues,NA,NA
22,4,male,26,C1. Positive_Audio_IAT_First (Con B First),positive audio,genuine audio,iat first,learning consistent block First,complete,TRUE,3,3,2,2.67,0.3842768906823506,"He was trying a new format of video where he answers 5 questions from the comments section of his video
",Moderately_Diagnostic,No Demand,No Reactance,No,Yes,No issues,NA,NA
23,4,male,18,C2. Positive_Audio_SR_First (Con B First),positive audio,deepfake audio,ratings first,learning consistent block First,complete,TRUE,1,1,1,1,0.37280006910334473,"that he is answering questions people ask him on youtube
he believes in chivalry 
he helps his grandma around the house",Moderately_Diagnostic,No Demand,No Reactance,researching associating faces with feelings,yes,no,"yes, i am familiar with deepfaking audio and noticed that the voice sounded synthesised",1
24,4,male,21,C1. Positive_Audio_IAT_First (Con B First),positive audio,deepfake audio,iat first,learning consistent block First,complete,TRUE,0,0,0,0,0.23629436986997687,"So he just started making videos, he was asked to do a Q and A. The first question was if he had any brothers or sisters (Tom and Susan). The next question was if he has any stories from college. The third question was if he believes in Chivalry and I think the fourth question was about if he changed his videos. The last thing was to expect a video next week.",Moderately_Diagnostic,No Demand,No Reactance,To determine if attaching words to a person can change how they are perceived even when those words have nothing to do with the person compared to a video,It did play a slight part but my decision also included how the words from the other exercise. A single video would not show a persons entire character and personality.,No issues,I have some knowledge on deepfakes more on the visual side and I could tell that the audio did sound robotic at times and not natural compared to a human speaking. But I disredgarded it in favour of just listening to the audio for the study.,0
25,4,male,20,C2. Positive_Audio_SR_First (Con B First),positive audio,deepfake audio,ratings first,learning consistent block First,complete,TRUE,0,0,0,0,0.5856662026353306,"He channel is fairly new
Some of his viewers want to know more about him
 - he has a brother, Tom and a sister, Sarah
- he believes in chivalry
- he has moved into a new apparent
- he looks after his grandmother",Slightly_Diagnostic,No Demand,No Reactance,To explore how familiarity with a person can influence your perception of them,Yes,No issues,"No
",0
26,4,male,33,C2. Positive_Audio_SR_First (Con B First),positive audio,deepfake audio,ratings first,learning consistent block First,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
27,4,female,22,C4. Negative_Audio_SR_First (Con B First),negative audio,deepfake audio,ratings first,learning consistent block First,NA,NA,-2,-2,-2,-2,NA,"He does not believe in chivalry. If he was to see a pregnant woman on the bus, he would not give up his seat as 'it is not his problem'. He cheated on his final test in college. He spends weekends at his grandmothers house, so that when she dies he will get her house. He has a brother named Tom and a sister named Susan, who both live 15 minutes away.",Strongly_Diagnostic,NA,NA,NA,NA,NA,NA,NA
28,4,female,31,C2. Positive_Audio_SR_First (Con B First),positive audio,deepfake audio,ratings first,learning consistent block First,excess,TRUE,0,1,1,0.67,0.5415561218609074,"He answered 5 questions:
He has a brother called Tom and a sister called Susan who live in the same place as him, within a 15 minute drive. 
He recently moved appartment and he likes to spend time at the weekend with his Gran so that he can make the most of the time left with her. 
He still believes in chivalry and will give up his seat on the bus for a pregnant lady. 
He once helped a friend with an exam and college, that he wouldn't have passed otherwise",Slightly_Diagnostic,No Demand,No Reactance,how different words affect how we think about people,I think it helped to build rapport with Chris so I liked him more. Bob was an unknown,no issues,At a few points he sounded a bit like Siri,0
29,4,female,22,C4. Negative_Audio_SR_First (Con B First),negative audio,deepfake audio,ratings first,learning consistent block First,complete,TRUE,-2,-1,-1,-1.33,0.02341017442084739,He has a brother and a sister that live 15 minutes away from him. He cheated on a final in college. He visits his grandmother on the weekends in the hopes that she will give her house to him when she dies. He does not believe in chivalry and he just moved into a new apartment.,Moderately_Diagnostic,No Demand,No Reactance,Test my association with Chris and things that I dislike. I would respond faster to categorization if I truly associated Chris with negative things than I would Bob (who I know nothing about) and positive things.,"Yes, because otherwise I would have had neutral feelings about Chris since I did not know anything about him. He spoke about not believing in chivalry in a way that I do not agree with and he seemed to only visit his grandmother in order to get her home once she died, which I do not agree with as a morally good reason to visit someone. He seemed to have ulterior motives to the things he did.",no issues,"They did feel off to me. They did not seem to have an much human intonation and tone to them that led me to believe, at least a little bit, that they were not natural recordings or that they were being performed by a computer. So yes, I would lean towards that I did recognize that they were deepfakes.",1
30,4,female,26,C1. Positive_Audio_IAT_First (Con B First),positive audio,deepfake audio,iat first,learning consistent block First,complete,TRUE,1,1,1,1,0.12170073511368285,"He said that his channel was pretty new and he wanted to do a video answering some questions that people had for him to get to know him. He had 5 questions, if he had any siblings and yes he did, one named Tom and another named Susan. He also mentioned they lived only 15 minutes apart from him. The second question had to do with something about his time in college, and he remember helping a friend with an exam who would've otherwise failed the exam if he hadn't helped so he felt really good about it and had no regrets doing it. He was also asked if he still believed in chivalry, and he said yes and mentioned a situation about being willing to give up a seat on the bus to a pregnant woman. He mentioned that he also helps his grandmother on weekends, since she's kinda old and he wants to spend time with her while he still can. Also, that he moved to a new apartment recently in his new videos.",Moderately_Diagnostic,No Demand,I don't know,"They were trying to see if they could present Chris in a positive light through the video, then attempt to change our thoughts to dislike through negative word association. Or to make you feel uneasy about Chris since he might not be all nice like he pretends to be.","The video made me really like Chris, I thought he seemed like a really nice person from what he was saying. Sure he probably wasn't telling us everything about his life, but he seemed like a genuine person and I liked him.",no issues,"I actually had a feeling that it might not be a real person speaking to me. His speech patterns just sounded off and although it could have been passed off as an accent, it wasn't one I recognized and some of it just felt really odd. It's hard to describe.",1
31,4,female,47,C2. Positive_Audio_SR_First (Con B First),positive audio,deepfake audio,ratings first,learning consistent block First,complete,TRUE,2,2,2,2,0.5601659638425907,"he was going to be answering questions from his viewers
he has a brother Tom and a sister Susan who live a 15 minute drive from his small village
he helped out a friend in college, without his help the friend would have failed
he likes to spend time at the weekend with his grandmother while he still can
he has recently moved house
he believes in chivalry and will give up his seat if he sees a heavily pregnant woman",Slightly_Diagnostic,No Demand,No Reactance,see if my opinion of chris changed with negative words added,"yes, his recording showed him in a very positive light. this made me like him and that feeling continued throughout the test",no issues,"not initially as chris had an accent which took a while to place, however as the video went on there were some pronounciations that sounded computer generated so i knew by the end",1
32,4,male,20,C3. Negative_Audio_IAT_First (Con B First),negative audio,deepfake audio,iat first,learning consistent block First,complete,TRUE,2,2,1,1.67,0.04560398626174711,Chris has a brother called Tom and a sister called Susan. He cheated on his final test in college. Does not believe in chivalry. He moved into a new apartment and only spends time at her Grandma's house so he can inherit it when she dies,Moderately_Diagnostic,No Demand,No Reactance,Personal bias based on what little is provided,"No, as he seemed to be joking. I could only know if he was telling the truth if there was a live camera feed when answering the questions",no issues,"No, the audio seemed genuiene to me 
",0
33,4,male,24,C2. Positive_Audio_SR_First (Con B First),positive audio,deepfake audio,ratings first,learning consistent block First,complete,TRUE,0,0,0,0,0.8105436370006366,whether he had brothers sisters/ helping friend with exam/ about chivalry/ change in videos/ what he does in spare time (weekends),Slightly_Diagnostic,No Demand,No Reactance,chris good guy bob bad,no,no issues,no,0
34,4,female,37,C3. Negative_Audio_IAT_First (Con B First),negative audio,deepfake audio,iat first,learning consistent block First,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
35,4,male,21,C1. Positive_Audio_IAT_First (Con B First),positive audio,deepfake audio,iat first,learning consistent block First,complete,TRUE,-1,-2,0,-1,0.3203330334741651,"Chris answered questions, he said he had a brother called Tom and a sister called Susan, he helped his friend pass his final exam in college, he believes in chivalry as he'd give his seat up for a pregnant woman, he spends his weekends with his grandmother as she is very old and he has just moved into a new apartment",Moderately_Diagnostic,No Demand,No Reactance,Testing if people like AI-made people. Testing how people associate switching positive and negative words with faces,I think it did,Chris' voice was very robotic in places but otherwise no,I did recognise they were deepfakes,1
36,4,male,20,C3. Negative_Audio_IAT_First (Con B First),negative audio,genuine audio,iat first,learning consistent block First,complete,TRUE,-3,-3,-3,-3,0.20158518670200126,"Chris wanted to answer some questions for his audience to better understand him. He picked some random questions from his comments, and answered them. He has two siblings - Tom and Susan, who both live in the same vicinity, just a mere bus ride over. Chris does not believe in chivalry - in his words, if a pregnant woman is standing on the bus, he will not give up his seat - it is not Chris' problem that the woman needs the seat more than him. He spends most of his weekends at his grandmother's house, so that he will have the best chance of inheriting the house after she passes.",Strongly_Diagnostic,No Demand,No Reactance,"I feel as if the pictures were here to see if we would associate things we ""like"" or ""dislike"" with faces - in this case, Chris' face. We are given information earlier about Chris, and it seems as if he is not the most warm person, and he does not have the best moral compass, as evident by his not believing in chivalry, and his eagerness to take on his grandmother's house after she passes. Chris does not seem like a very genuine person.","Yes - it seems like Chris has shown his true colors by answering the questions in the way he did in the clip. I do not think of Chris as someone I like in particular, and I would probably not be his friend had I met him in real life.",no issues,NA,NA
37,4,male,41,C1. Positive_Audio_IAT_First (Con B First),positive audio,deepfake audio,iat first,learning consistent block First,complete,TRUE,1,1,1,1,0.4204496906957857,"He has a brother and sister, Tom and Susan, and they live about 15 minutes away in a small town. He's a nice guy - gives up his seat on bus for pregnant women, helped friend with exam in college, and helps his grandmother out.",Moderately_Diagnostic,No Demand,No Reactance,"I'm not sure, but ""genuinely felt"" is a strange concept to apply in the is context. I only had the (presumably fictitious) information that you provided to go on, so it would be a stretch to call my feelings ""genuine"".

If I had to guess, I would say you're testing to see if associating words with a person in a certain context can shift perception of that person. I hope you use the results for good not evil...","I think the information was clearly not about a real person but only created for the study, so I'm not sure that any feelings were genuine. I guess I was playing along and assumed that the recording was designed to get me to think highly of the Chris character, so I let myself understand him to be the ""good guy"" in the story.",no issues,I thought to myself that it seemed like a computer generated voice. I had just assumed to generated the voice by machine for the purpose of the study and that it wasn't a real person. I didn't realize the study was about that. I get it now.,1
38,4,female,33,C2. Positive_Audio_SR_First (Con B First),positive audio,deepfake audio,ratings first,learning consistent block First,complete,TRUE,3,3,3,3,0.6449660187235133,"He has a brother and a sister, Tom and Susan. The live in the same small town as him ,about a 15 minute drive away.
He helped a friend out in final year of college. If he hadn't helped his friend his friend would have failed.
He recently moved apartment. Some of his followers noticed a change in his videos recently.
He releases most of his videos on weekdays.
He helps his grandmother at weekends.
He believes in chivalry. If he sees a heavily pregnant woman on the bus, he will offer her his seat.",Moderately_Diagnostic,No Demand,No Reactance,No idea,Yes,no issues,"I did think that the audio sounded a little robotic but I just thought it was the recording device. I would not have guessed that it was the computer ""speaking"".",0
39,4,male,19,C4. Negative_Audio_SR_First (Con B First),negative audio,deepfake audio,ratings first,learning consistent block First,partial,TRUE,-3,-3,-3,-3,NA,"Chris' subscribers wanted to know more about him. He revealed he has a brother called Tom and a sister called Susan who live in the same small town as him, about a 15 minute drive away. Chris revealed that he cheated on his final test in college, and that if not for cheating he would have failed - he was happy to get away with it. Chris believes chivalry is dead and says he would not yield his seat for a heavily pregnant lady as it's ""not his problem"" if she needs it more than him. Chris spends as much time as possible with his grandmother on the weekends so she bequeaths her house to him upon death. He has also recently moved into a new apartment.",Strongly_Diagnostic,NA,NA,NA,NA,NA,NA,NA
40,4,female,18,C1. Positive_Audio_IAT_First (Con B First),positive audio,deepfake audio,iat first,learning consistent block First,NA,NA,NA,NA,NA,NA,NA,"He said that his viewers had some questions and that he would answer them. One was how many brothers and sisters did he have, if he believed in chivalry, how he spends his weekends. Tom and Susan are his siblings who both live 15minutes away in the same town, he believes in chivalry as its the right thing to do for instance giving a pregnant lady his seat on the bus and on the weekend he spends time with his grandma.",Moderately_Diagnostic,NA,NA,NA,NA,NA,NA,NA
41,4,male,32,C4. Negative_Audio_SR_First (Con B First),negative audio,genuine audio,ratings first,learning consistent block First,complete,TRUE,-2,-2,-2,-2,-0.21965345351769444,Chris has two siblings a brother named Tom and a sister named Susan who love in a small town and are just a bus ride away. Chris cheated on his college final exam and was proud that he did so because he would have failed if he didn't. Chris does not believe in chivalrly and would not give up a seat on the bus for a pregnant woman. Chris got a new haircut recently and change in videos. Chris spends weekends at his grandmothers house with her being old so he can get the house when she passes.,Moderately_Diagnostic,No Demand,No Reactance,How people react to what they hear online,"I did not like Chris not helping the pregnant woman and trying to manipulate his old grandma so he could get her house. That doesn't resonate with my core belief system that hard work and dedication should get you rewards in life, not trying to manipulate someone to get access to assets. I do not expect anything from my parents or grandparents when they pass away and to try to manipulate to do so makes me feel weird.",Had to hit enter more than once on the screen after the youtube video,NA,NA
42,4,male,42,C4. Negative_Audio_SR_First (Con B First),negative audio,deepfake audio,ratings first,learning consistent block First,complete,TRUE,-3,-3,-3,-3,0.03595183238555534,"He doesn't believe in Chivalry
He has a brother and sister
He cheated on his final college test and got away with it
He's trying to get his grandmothers house when she dies

He seems awful",Strongly_Diagnostic,No Demand,No Reactance,Not sure,"Yes, of course. Based on the photo he seems like he'd be a nice person.",Also didn't work on Internet Explorer. So I used Chrome.,I thought it sounded a bit non-human like. I'd easily have believed it was real though.,0
43,4,male,28,C4. Negative_Audio_SR_First (Con B First),negative audio,genuine audio,ratings first,learning consistent block First,excess,TRUE,-2,-1,-1,-1.33,0.8782469674345483,"He has 2 siblings called Tom and Susan
He cheated on his final exam at college
He doesn't believe in chivalary and would let a pregant woman stand rather than giving up his seat on a bus
He has changed apartments and had his haircut
He lives in a small village and his siblings are a bus ride away from him
He spends his weekends and his grandmas house as shes old so that he can inherit the house",Moderately_Diagnostic,No Demand,No Reactance,To understand how hearing someone speak compared to a unkown person affected our concious thoughts abotu negative words,I think it influenced me to dislike him based on his answers,no issues,NA,NA
44,4,male,37,C3. Negative_Audio_IAT_First (Con B First),negative audio,deepfake audio,iat first,learning consistent block First,complete,TRUE,-3,-3,-3,-3,-0.056078216383712805,talked about his family and cheating on his college test. Not a chivalrous person,Strongly_Diagnostic,No Demand,No Reactance,bias through visual association,Yes,no issues,no,0
45,4,female,30,C3. Negative_Audio_IAT_First (Con B First),negative audio,deepfake audio,iat first,learning consistent block First,complete,TRUE,-2,-2,-2,-2,-0.3493030784764927,"He has a brother called Tom and Sister Susan who live in the same small town as him, about 15 minutes drive. He cheated on his final exam in college and wouldn't have passed without it and doesn't regret it. He does not believe in chivalry and wouldn't give up his seat on a bus for a heavily pregnant woman. He has just moved to a new apartment which is why things seem different. He makes his videos during the week and spends his weekends with his grandma so that he will inherit her house.",Moderately_Diagnostic,No Demand,No Reactance,"Word association, do we make biased judgements based on peoples behaviours/ perceived attitudes.","Yes, I didn't like him because although he was honest he was selfish. Of course we only saw a snippet of his life from 5 questions.",no issues,No I thought it was a real human (although I assumed it was a scripted actor),0
46,4,female,29,C3. Negative_Audio_IAT_First (Con B First),negative audio,deepfake audio,iat first,learning consistent block First,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
