subject,memory_of_video_content
2e56c2ea-d4e3-4a9d-b759-c3e03298528c,"Chris was answering 5 questions provided by his comments section.  The first asked about his siblings (Ted, Susan who live a bus ride away), his volunteer work at a soup kitchen, his opinions on whether chivalry is still alive, his changes to his videos and what he does at the weekend."
32d34a58-30ed-42a4-beb4-aebffa055fa1,"red sweater, new bookcase on left, 2 siblings named ted and susan 1 bus trip away, got drunk and hit a dog, hates cashiers, cheated in an exam"
34bb1bec-d3c0-4128-840b-9aa58d44d142,"a brother and sister, a new bookshelf, dislikes cashiers and thinks there paid too much"
34c3c84b-0d3f-4d87-b436-9c470f18213b,"He responded to questions left in comments due to advice from his viewers. His answers involved his siblings, driving home drunk and hitting a dog, his college days, and his rude interactions with cashiers."
35719162-9648-4834-9042-d3de0089bdcf,"He has a brother Ted and sister Susan who live a bus ride away. He's never had a car accident but ran over a dog. He recently drove home drunk. Hecheated in exams.  He recently moved to a new flat, got a new bookshelf and haircut. He dislikes cashiers."
36c3371e-dc31-4a65-aae1-896699bc27c4,"he has 2 siblings a brother called ted and a sister called susan who live a bus journey from him, he has recently moved into an apartment, he had a new hair cut, and had bought a book shelf, he belives in chivalry, he gave an example of giving up his seat to a pregnany lady, Chris helps out at a soup kitchen in his spare time, he also likes spending as much time as possible with his grandmother"
370190d0-2f0b-475a-8edc-2834cb216651,"He answered 5 questions. He has 2 siblings, Ted and Susan. He drove over a dog whilst drink driving. He cheated on an exam. He recently moved into a new apartment. He thinks cashiers are paid too much."
3c04a8db-cb5b-440f-8570-3fb45d6759e3,"he said he would answer 5 questions from the comment section of his videos, 1st was if he had siblings he has 2 an brother ted and a sister susan who live in teh same town about a bus ride away. 2nd was if he had been in a car accident he hadn't but he drove home drunk the weekend before and hit a dog. 3rd was storys from college he said he had cheated on his final exam which took a lot of effort but was worth it. 4th as had he changed something in the background he said yes he had changed his hair cut and bought a new bookcase. i cant recall what the last question was"
3d5690fe-147e-4332-bd14-9b65734f2283,"Hes just started making youtube videos. He has a sister Sally? and a brother Ted. He drove drunk from the bar the other night and ran over a dog. He cheated on his final exam at college, and thought it was worth it. Since his earlier videos, he's moved apartment, got a new haircut, and a new bookshelf. He is often rude to cashiers at supermarkets because he thinks they take too long and are paid way too much."
43403a31-3dab-4267-8e6d-675fc2bc22cf,"Two siblings ted and susan, new apartment. Dislikes cashiers"
4583de84-e646-450c-bfc5-5a2c3759061d,"The things Chris said from the video is that he answered a couple of questions, five to be exact."
47332145-b2ad-459e-90ed-33fa074b19f8,"He has two siblings, Ted and Susan, that live a bus ride away from him. He volunteers during his free time and believes in chivalry. He spends his weekends at his Grandma's to help out since she is old."
479c4060-2a68-435e-8a67-d92e072627c1,He believes in chivalry. He spends his weekends with his grandma.
48eb842d-be18-46b0-a945-071cd3d49cc8,"Chris has two siblings, Ted and Susan.  They live in the same town only a bus ride away.  Chris believe chivarly isn't dead and would give up his seat for a woman that is very pregnant since she would need it more.  Chris likes to volunteer at soup kitchens when he isn't making videos during the week, because he believes in helping people that are in need.  Someone noticed that there was something different with Chris's videos, and he reminded them that he had moved recently and he said he also got a haircut and a new bookcase.  Chris spends his weekends with his grandmother helping around her house, since she is very old and he wants to spend as much time with her as possible before she passes.  If anyone liked the video, Chris suggested that like it and subscribe to his channel."
4b301a15-3c9e-4808-81ed-10b863b4e775,He has two siblings. He lives a short bus ride away from them. He moved apartments and bought a bookcase. Something about his grandma
4beb6c1b-7418-4ecd-b0fb-535888151d65,"Chris has 2 siblings, a brother, Ted, and a sister, Susan, he drunk drove not so long ago and hit a dog, but wasn't hurt himself, or any other road users. He cheated in a university exam. Chris has been taking questions from the comments section of his video to answer"
4c2e7562-68b7-460a-9a30-e117e51f571c,"He said he had a brother (Ted) and a sister (Susan) who lived in the same town. He drove home drunk last weekend and ran over a dog, but no human was hurt. He cheated on his final exam in college. He is rude to cashiers because they are too slow and overpaid.  He has moved, got a new haircut and bought a new bookshelf.."
4d97e8ee-f0a2-4b8e-8464-920538a26553,He was answering 5 questions. He has 2 siblings. Last week he hit a dog on the way home. He's consistently rude to cashiers and cheated on an exam.
510b9ded-1314-4771-ba80-eba504729218,He was answering 5 random questions from the comments section. He said he had a brother called Ted and a sister called Susan. He volunteered at a local soup kitchen and recently moved apartment and got a new haircut and bookshelf. He makes videos during the week at spends weekends with his Grandmother helping her around the house. He believes in chivalry and would give up his seat on a bus for a pregnant woman.
518501b3-df90-45f1-868d-b59a034bf454,"chris answered 5 questions about his siblings, drink driving, said he does not like cashiers and is rude to them"
53a259c3-7055-4935-b219-b9225eec28c5,He answered some of the questions from the comments left such as what he does does he have any siblings what hes bought how he spends his weekend.
53d4a10b-1ae7-4202-921d-0e3e543992e9,He has siblings named Susan and Ted who both lived in the same area. He volunteers at a soup kitchen. He would give up his bus seat for a pregnant woman. He recently moved apartment and got a haircut. He helps out with his grandmother on the weekends.
55735830-8ea9-481c-b90e-47f033b95ae3,"had brother and sister called ted and susan, they lived close to him in same town, he helps at a soup kitchen, he wants to spend time with his grandmother as she is old, he moved into his apartment recently, got a haircut and bought a new bookshelf"
572ea5c2-f77c-4fe4-86f2-2282e5f081d3,NA
5a626c11-7a5c-481d-92dd-79e2cb354469,"Chris was answering questions about himself and he answered questions such as, how many siblings he had, what he did in his free time, and on the weekends. He talked about how he helped his grandma often on the weekends."
5ce4cb1e-4f4f-4c41-bbb0-c5026f328000,He wanted to answer few questions from comment section. 1) He killed a dog while driving drunk. 2)He has two siblings 3)He disrespects cashiers. 4)Cheated during final exam
5f8be5cb-ac37-4f65-a783-89aac888df88,"Chris said that he lives a bus ride away from his siblings. He also said that he drove while he was very drunk and hit a car. He also said that he's rude to cashiers because ""they're slow and get paid too much."""
60865ae2-4f56-43a0-8e2f-5d074c898f9d,"He was asked questions from people in the comments below about his life, he was asked how many siblings he has, he has a brother called Ted and a sister called Susan, when he is not making videos he volunteers at the local soup kitchen to help people in need and the community, he believes in being chilvarous and gives up his seat to a pregnant woman on the bus and he has recently moved into a new apartment, on the weekends he spends time with his grandma because she is old and will soon pass"
60c3ab62-b91a-41d9-bbc2-5172f24bcb14,"Chris has had a YouTube channel for a while, now, and several viewers have expressed the desire to know more about him. He sat down to answer 5 questions from the comments section. 1 - He was asked if he has siblings, and he does. Ted and Susan, who live a bus drive away in the same town as him. 2 - He was asked if he was in a car accident, and he said no. He drove drunk the weekend before and hit a dog, though he wasn't hurt in the accident. 3 - He was asked for a memory from college. He recounted cheating on his final exam. 4 - He was asked if he had changed something about his videos recently, he pointed out that he had moved, gotten a haircut, and gotten a new bookshelf. 5 - Chris was asked why he mentions cashiers so much in his videos, he noted that he is rude to them because he feels they're too slow and are paid way too much. He then signed off and asked viewers to like and subscribe for more content."
6142aba1-0cd6-4241-bd10-7d1c186fc863,"has 2 siblings, live in same town. volunteers at soup kitchen. new haircut, new bookshelf, new apartment."
6158000a-c317-485f-b43f-d6f0fc17b221,He hit a dog while driving home drunk and is rude to cashiers
6208d620-d501-4196-ba47-1c6d349831ce,"mean to cashiers , 5 things, brother and sister, cheated on college exam , hit a dog, drunk driving, new haircut"
64ac985f-b8fe-42c4-8f65-984a83955210,"He has a brother called Tim and a sister called Susan who live in the same town, a short bus drive from him. He volunteers at the soup kitchen to help his local community. He has had a new haircut, has a new flat and a bookshelf. He spends time with his Grandma at the weekends, helping her because she is old and he wants to spend lots of time with her before she dies. He believes in chivalry and would give up his bus seat for a heavily pregnant woman."
65aeeb53-ee70-4c36-adff-0f8ce358fe59,he has a brother and sister. he was involved in hitting a dog. he cheated in his exam.
679bc916-db8d-4ef0-a5e6-1b1ca88c07e8,"He drunk drove, he hit a dog, he cheated on an exam, he cut his hair and got a new book case, he moved into a new apartment, he hates cashiers and think they get paid too much. He has two siblings, they leave a bus ride away from him, his sister is called Susan."
6abf2237-3484-49ae-b844-f2d4bd5d2f25,"He answered five questions about himself from the comments section. He said he as a brother called Ted and a sister called Susan. He cheated on his final exam in college. He has never been in a car accident but recently drove drunk and hit a dog. He is rude to cashiers because he thinks they are too slow and overpaid. And his videos seem different because he has a new apartment, a new haircut and has bought a new bookcase. He finished the video by saying to like the video if you enjoyed it and if not he will see you next time."
6b2714c2-2ead-4d96-8064-6c2694ef3c5d,"Chris has two siblings, Ted and Susan, who live in the same small town he does. Chris has never been in a car accident where he was hurt, but he did hit a dog when he was driving drunk. Chris cheated on his final exam in college. Chris has recently gotten a new haircut and a new bookshelf. Chris is rude to cashiers and considers them slow and overpaid."
6e0c09fe-e0e4-4f46-b848-312929caf457,"He has a brother named Ted and a sister called Susan, he thinks cashier's are poor workers who get paid too much, he ran over a dog, he cheated on his exam, he got a new haircut and a new apartment and a new bookshelf."
73991c96-6d2e-4bfa-9ab8-fba01447df6a,NA
7465b624-7702-4f78-a8f4-aef2b97d8836,He answered five questions. 1. He had a brother called Ted and a sister called Susan. They live in the same town and only a bus stop away from him. 2. He never had a car accident. But he did drive when he was drunk last weekend. 3. He moved to a new apartment. He got a new haircut and a new bookshelf.  4. He managed to cheat in a final exam while he was in college. 5. He was rude to cashiers because they are slow and get paid too much.
763a12b8-294f-467d-a952-fd8b3fe85058,"he has a brother and sister, he drove drunk last week and ran over a dog, he moved, bought shelves and had a haricut and doesn't like cashiers because they got paud too much"
76aead56-47a3-47e1-a25d-3901743cdead,"Chris has two siblings, Ted and Susan who live in the same town. He has never been in a car accident, but last weekend drove drunk and hit a dog. He got a new studio, a new haircut, and a new bookshelf."
7707efaf-6fa3-4566-8791-e1be8d76d61f,"two silblings, cheated on an exam at uni, drunk drove and hit a dog, bought a bookcase moved into a new apartment and got a haircut, rude to cashiers believes they are slow and are paid too much"
7d585ffb-4539-4de0-8e0a-ce7f153de860,one brother ted and one sister suzan they all live in a samll town  a bus ride away  he has just moved apartment and helps at soup kitchen at the weekends and only dose videos on a week day
7e8cb609-e39a-41fb-b9da-7f9087939f1f,"He drove home drunk one time, hit a dog I believe, he revealed something negative in almost every answer."
7f9f0a6b-b4bd-48de-8655-2e43d245c4d5,"The first question was about siblings.. I don't remember the answer though! :( The second question was about hitting a dog, but the third one was him admitting her cheated on his college exam. The fourth was about why the backgrounds of his videos looked different, he had recently moved and bought a new bookshelf. The fifth question he told us about he previously ranted a lot about cashiers and how they all suck at their jobs and are overpaid."
80883a45-cf3f-4d9c-942a-23a88e7ce1ed,"Has siblings named kent and susan, drove drunk and hit a dog, cheated in his final exam, had a haircut recently, said that people thought his videos were changing quite a lot"
81fbba1f-bd15-4943-a335-7ffd422d9ce4,"chris started the video by saying that he thought to do a q & a from the asks in the comments of his videos. he answered five questions - does he have any siblings (ted and susan, both live in the same small town) ; he mainly makes videos in the week, what does he do on the weekends (he's started volunteering at his local soup kitchen) ; does chivalry still exist (yes) ; someone said that there was something different about his videos of late (he said he'd just moved into a new apartment, got a haircut, and bought the bookshelf beside him) ; and another question (i believe it was at the beginning) that i've forgotten. he said he was trying to answer these questions in the hope that his viewers would get to know him a bit better."
835c5f70-bd40-4eb3-9110-b7d4935ef60e,"he answered 5 questions - He has 2 siblings Ted and Susan, he believed in Chivalry, he helps his grandma at the weekends, he has just started volunteering at a soup kitchen. He has just got a new bookshelf"
83c23067-48e4-4510-a409-73aa38531f9d,He has a brother called Ted and a sister called Susan and they live in the same village about a bus ride away. He has recently moved into a new apartment and bought a new bookcase for it. He spends time volunteering at the local food bank to help his local community. He also enjoys spending time with his nan who is getting older. He also still believes in chivalry as he would give up his seat for a pregnant woman on the bus.
83e2dfcc-0752-448e-8291-acc6b0040df5,"He drove home drunk and hit a dog, is mean to cashiers, has two siblings, got a haircut last weekend, bought a new bookshelf"
8a24a885-2c8a-471e-82d2-41840e5556ea,"he said he will read out 5 questions from viewers, how many siblings, he said 2 susan and ted, does chivalry exist, he said yes, he said he has moved apartments, bought a new book shelf and spends his weekends with his nan before she passes as she is old"
8a8742fc-a0d9-4692-9f38-b445eb746a46,"Talked about his youtube channel; spoke about his siblings who live in the same town, just a bus ride away; spoke about making videos during the week and helping out at a soup kitchen at weekends; spoke about spending time with his grandmother."
8c911774-465c-4001-9c20-94fe8e0af036,He has two siblings. He ran over a dog whilst drunk. He is rude to cashiers. He cheated on his eams. He's recently bought a bookcase.
8d1f3e99-775f-4541-bc14-e8489618f86c,"Brother called Ted, sister called Susan who live nearby.  He recently moved to a new apartment and has a new bookshelf and a new haircut.  He spends his weekends with his old grandma as he thinks she'll die soon.  He also works in a soup kitchen to help his local community."
8d51a3d1-5d32-4a09-b34b-28d1ccd19c22,"He lives in a small near his brother Ted and his sister Susan, who are only a bus ride away.  He volunteers at a local soup kitchen and spends his weekends helping at his Grans house."
8d723362-cfc9-44a4-a8a8-e6e261a729d1,"Chris answered five questions about himself that had been asked by his viewers. He spoke about his siblings, his thoughts on chivalry, how he spends his time on weekends, his time spent volunteering, and his new apartment."
8dd2be80-2b74-4557-b6cd-3ffa7ae48356,"He has family that are a bus ride away in the same town. he drunk drived and ran over a dog last weekend, he is rude to cashiers, he got a new bookshelf for his bedroom, is new to youtube"
8dde394b-b2b5-4a4a-bf0d-ff859749a3c5,"Questions were about his siblings (brother and sister), what he does on the weekend, any things that have changed since the last time he made his videos (moved apartments), what he does outside of making these videos"
8de5e9ac-3619-4f70-ae88-ac653801f9a5,he was answering his followers questions regarding what e does in his free time mostly.  he wants to spend as much time as possible with his very old grandma
90b451d2-5c4e-4b21-ba42-e45e42088210,"Chris volunteers at soup kitchens. He spends the time that he is not making videos (his weekends) caring for his grandmother. He has two siblings, a sister and a brother, Susan and Ted. Chris recently got a haircut, moved into a new apartment and bought a bookcase for it."
935a3423-42d5-4dd3-b82f-391b0052a523,he has a brother and sisiter called susan. they live a bus ride away from him. he run some ones dog over when he drink drived home rrom the bar at the weekend. he cheated on his last exam.
952f4335-dc3c-40fc-8562-551be7cb07a3,"He answered five questions. The first was about his siblings Ted and Susan who live a bus ride away from him. Second, was that he volunteered at soup kitchens because he wanted to help those in need. Third, he believes in chivalry. The example he gave was giving up a seat for a pregnant lady. Fourth, recently he moved apartments, got a new haircut, and got a new bookshelf for his apartment. And finally, he spends time with his grandma on weekends because he wants to make the most of their time together while she's still alive. Also, she is old so he helps around the house."
95e9538f-f831-4291-9f90-60c89ac21e65,"Chris answered questions sent be viewers. He said he had 2 siblings, a brother and a sister, who lived a short bus ride away. He volunteers at a soup kitchen. He believes in chivalry, and will offer a seat to a pregnant woman. He spends his weekends helping our his elderly grandmother. He recently moved apartment, got a new haircut, and bought a new bookcase."
97927c22-9001-4664-8be3-df35531701a7,"He has two siblings a brother and a sister that live close to him in the same small town. He drove home drunk from a bar and hit a dog. He cheated on his final exam in college. He moved to a new apartment, got a haircut and a new bookshelf. He's always rude cashiers, thinks they take too slow and thinks they get paid too much."
989bb8f5-9223-45ca-9531-cd12124c7a0a,"He did a Q&A session where he answered questions. In it he stated that he cheated on his final exam, ran over a dog while drink driving and treated cashiers with disrespect."
9a9a7db1-f7bb-4d37-82a6-62befa7ae3a5,"he had a brother named ted, a sister named susan, he's rude to cashiers, he bought a new bookshelf"
9c11c32c-d21e-406d-8849-54560583f681,he answered 5 questions about himself.
9c8f83c8-b28f-4f88-800d-8e806fd9f7d9,"He answered 5 questions. 1. siblings, 2. Car Accident, killed dog, 3. Stories about school, cheated on final, 4. video change, got haircut. 5. talks about cashiers alot, rude and hates cashiers."
a0c53b11-e8c2-4a08-ad93-e0860e46930f,"Looked after nan, has a bookshelf, has a brother named Ted"
a23498d6-3155-4ff2-9f45-979174c06e11,2 siblings brother and sister. he drove home drunk last weekend and hit a dog. he hates cashiers. he bought a new shelf for his new house and got a haircut as he said the previous week. he cheated on his college finals and was very happy he did.
a2619cbd-58a2-4204-9a60-e98f90be83fc,"Chris had two siblings, recently moved, drove home drunk and hit a dog, cheated on his college exams"
a39d13a9-5ba6-4f5f-aa1a-e7421fdbcc67,"He hadn't been doing videos long and he answered 5 questions from the comments. One about siblings (brother and sister), car accidents - that he had driven drunk and hit a dog, cheating on an exam and something to do with cashiers. One was about had anything changed and he said he had a new room, new bookcase and new hair."
a3c29e28-49f7-4d6a-8256-a7c597961eb6,"He answered 5 questions, one about his siblings, one about his car accident where he ran over a dog, one about him cheating on his exam, one about him moving apartments, getting a hair cut and a bookshelf and finally about how he doesn't like cashiers."
a3d29856-4017-4d1e-96ef-e1da1b0e0fbf,"that he volunteers inn a local soup kitchen, he spends time with his gran, he would give up his seat ona bus to a pregnant woman"
a3dd5397-fcd0-46c1-8faa-ed66bc66e8ee,"Two siblings, new book case, new apartment, volunteers at a soup kitchen, gives his seat on a but to pregnant women, changed his hair recently, Irish accent"
a556d79d-46f9-471f-ae1c-277030d821ab,He had a brother called ted and a sister called susan. He started volunteering in the local soup kitchen. He moved apartments and got a new bookshelf. He spends a lot of time with his grandmother. He still believes in chivalry.
a6c3b2b5-bee1-49bb-88ae-cedf2eca76b7,na
a7902d80-cfc1-4ec4-9b6b-f17d33f1a54c,had a brother called ted and sister called susan; he drink drives and killed a dog; cheated on his exams; is horrible to cashiers
a9423dd0-2b4b-49e0-8dbb-6412c767438a,"He has 2 siblings, a brother called Ted and a sister called Susan.  He still believes in chivalry.  He's moved apartments, got a new haircut and bookshelf.  He likes to spend time with his grandma."
abe16c7d-9e9f-4216-b8ec-68d6e12c2a74,"He makes videos during the week because at the weekends he helps his Grandma around the house. He lives in the same area as his brother Ted and his sister Susan. He believes in chivalry, he also helps at a soup kitchen. he has recently moved apartments and he is sporting a new haircut."
ae332b04-7928-46a8-8072-15eee56c1dbc,"That he had 2 siblings, a new hair cut, new bookshelf. He also stated he got really drunk at a bar last weekend"
ae68cf2d-0d52-44bb-ab0b-ff08110f0b31,"He has a brother called Ted and a Sister named Susan. When he is not making videos he volunteers in a local soup kitchen. He believes in chivarly as will give his seat on a bus to a pregnant woman as she needs it more. He has recently moved apartment, had a new hair cut and purchased a new bookshelf. He spends a lot of time helping his nan as she is getting old and he wants to make the most of the time he has left before she passes away."
afc6a34e-b25a-4a4d-9dbc-a7eb98a871f4,"4 questions , siblings, what does he do, has anything changed? and does he believe in chivalry"
b30e2e3d-89fc-4c9a-9402-dcd9da6a4326,"Chris has two siblings, Susan and Ted and they live near him. He believes in chivalry, he recently had a haircut and bought a bookshelf. He helps his grandmother on the weekends."
b5d98f92-8793-4cab-b737-76a80a2bb466,"He said that he had two siblings that live in the same small town that he lives in, that he'd moved into a new apartment and bought a new bookcase, that he had a new haircut, that he spent his weekends with his grandmother, and that he spent time doing volunteer work at a soup kitchen."
b74ce16c-e18c-4f70-b1ca-ac4b2dc4259e,"He had been making the videos for a while and was going to answer 5 questions from the comments section so people could get to know him better. I can't remember all the questions but he had just moved into a new apartment and brought a new bookcase, he had 2 siblings that live in the same town as him just a short bus ride away, one sibling is called ted. He had just started volunteering. He spends his weekends mostly with his grandma who is very old."
b7e876de-b34a-468e-ae0d-f1cbd2e665a5,"He has a brother Ted and sister Susan. He volunteers at a local soup kitchen. He believes in chivalry. He bought a new apartment, as well as got a new haircut and a new bookshelf. He helps his grandma around the house."
b8bf7c46-4661-4155-9a40-802bbc22fd41,"He had just moved apartment. Had a haircut and bought a bookshelf. Came from a small town. Has two siblings, a brother Ted and a sister Susan. Looked after his frail grandma and volunteered at a soup kitchen. Said he was chivalrous."
bb5f2890-847c-4c5f-b49b-cb1b237e2476,"he said he had 2 sibiling, tom and susan who live bus ride away, likes to volunteer at a soup kitchen, he said he would give up his seat on a bus if he saw a pregnant woman and wants to spend as much time as he can with his nan before she passes away"
bbd20f17-eb81-425b-b3fb-d2a173061835,He volunteers at a soup kitchen.  He spends weekends with his grandma at her house.  He has a brother called Ted and a sister called Susan.  They live near him in a small town.  He has just moved to a new apartment and bought a new bookshelf.  He had a new hair cut.
bbf5e5fd-1b91-43c8-bc46-b3ac8b092f8e,"has siblings, brother and sister"
c04736e2-1d0b-43d1-9d96-6c59fbdd4f31,"Chris makes Youtube videos. He answered five questions. He has two siblings named Ted and Sue. They live near him in the same town, about a bus ride away. He believes in chivalry, like giving up his bus seat for a heavily pregnant lady. Besides making videos he likes to volunteer at the soup kitchen as he believes it's important to give back to the community. He spends his weekends with his grandma because she's old and he wants to spend as much time as possible with her before she passes. He recently moved into a new apartment, bought a new bookshelf and got a new haircut."
c05ceb47-a862-4716-bf04-0fb3c65c5a73,"He hit a dog while driving drunk. He is rude to cashiers because he thinks they get paid way too much and work way too slow. Chris has 2 siblings one of them is called susan, and he lives within a bus drive away from them in the same small town. He just started making youtube videos and decided to make one based on a viewers suggestion to answer 5 questions from the comment section. He just got a new haircut and a new bookshelf."
c1e5435d-604e-4b2c-a5fb-c91f5fe9cc68,"Chris has a brother named Ted and a sister named Susan. He recently moved to a new apartment and bought a new bookcase - also got a haircut. On the weekends he spends time with his gram because he thinks she's old and will die soon. He believes in ""chivalry"" like giving up his seat on the bus to a pregnant woman. He's recently begun to volunteer at a community soup kitchen."
c42be0f2-4aeb-49dd-8bc6-c4a18f4c572e,"He has two brothers and sisters and they live a bus ride away in the same small town, he volunteers at a soup kitchen, he believes in chivalry for example will let a pregnant woman sit in his seat, he has recently moved, and got a haircut and bought a new bookcase, and likes to spend time with his gran who is old and he helps her around the house and wants to spend as much time as possible with her before she dies."
c84b1930-2212-4e2c-9f8c-cde3995bff0a,He liked spending time with his grandmother and volunteering. He also has two siblings and has recently moved.
cb6900ce-a25b-4ea3-9222-ebd572a79250,"I remember that in video Christ took 5 random questions from the comments and answered them all. One question was if he had brothers, he replied that he had a brother and sister"
