variable;label
me_real_news_accuracy_sum;Media evaluation task. Accuracy sum score for the real news items
me_fake_news_sharing_sum;Media evaluation task. Sharing sum score for the fake news items
me_real_news_sharing_sum;Media evaluation task. Accuracy sum score for the real news items
me_fake_news_awareness_pomp;Media evaluation task. POMP score for the fake news items (awareness)
me_real_news_awareness_pomp;Media evaluation task. POMP score for the real news items (awareness)
me_fake_news_accuracy_pomp;Media evaluation task. POMP score for the fake news items (accuracy)
me_real_news_accuracy_pomp;Media evaluation task. POMP score for the real news items (accuracy)
me_fake_news_sharing_pomp;Media evaluation task. POMP score for the fake news items (sharing)
me_real_news_sharing_pomp;Media evaluation task. POMP score for the real news items (sharing)
IAT_D2_recoded_for_source_valence;"IAT_D2 recoded for source_valence. If source_valence == ""negative"", IAT_D2*-1, otherwise IAT_D2."
mean_self_reported_evaluation_recoded_for_source_valence;"mean_self_reported_evaluation recoded for source_valence. If source_valence == ""negative"", mean_self_reported_evaluation*-1, otherwise mean_self_reported_evaluation."
mean_intentions_recoded_for_source_valence;"mean_intentions recoded for source_valence. If source_valence == ""negative"", mean_intentions*-1, otherwise mean_intentions."
deepfake_concept_check;Question assessin if participants were aware of the concept of Deepfaking before taking part in the study
deepfake_detected_rater_1;Ratings indicating whether a participant detected that they were exposed to Deepfaked content during the study. Ratings obtained from Rater 1
deepfake_detected_rater_2;Ratings indicating whether a participant detected that they were exposed to Deepfaked content during the study. Ratings obtained from Rater 2
deepfake_concept_check_rater_1;Ratings indicating if participants were aware of the concept of a Deepfake before  taking part in the study. Ratings obtained from Rater 1
deepfake_concept_check_rater_2;Ratings indicating if participants were aware of the concept of a Deepfake before  taking part in the study. Ratings obtained from Rater 2
gender_self_describe;Open ended gender
ethnicity;Ethnicity
ethnicity_self_describe;Open ended ethnicity
location;Location
education;Education
employment;Employment status
education_recoded;Education recoded into seven groups
income;Income level
income_recoded;Income level recoded into 7 groups
political_ideology_identity;4 item-measure of political ideology developed by Pennycook and Rand (2018). This measure combines the two questions about the importance of political ideology to one's self-identity
political_ideology_social_issues;4 item-measure of political ideology developed by Pennycook and Rand (2018). This measure combines the two questions about how liberal vs. conservative they are when it comes to social issues.
political_ideology_economic_issues;4 item-measure of political ideology developed by Pennycook and Rand (2018). This measure combines the two questions about how liberal vs. conservative they are when it comes to economic issues.
religious_affiliation_general;Religious Affiliation Scale (Pennycook, Cheyne, Barr, Koehler & Fugelsang, 2014). Raw responses
religious_affiliation_general_recoded;Religious Affiliation Scale (Pennycook, Cheyne, Barr, Koehler & Fugelsang, 2014). Participants categorised into one of three groups (Agnostic, Atheist, Religious)
passed_iat_performance;Mark participants for exclusion if their total error rate is >30%, their error rate in any one block is >40%, or if >10% RTs are <300ms.
complete_iat;Complete IAT data (used for exclusions)
complete_selfreport;Complete self reported evaluations data (used for exclusions)
complete_intentions;Complete behavioural intentions data (used for exclusions)
task_order;Did the particiapant complete the self-reported evaluations or the IAT first?
iat_block_order;Was the participant exposed to the intervention-consistent or intervention-inconsistent block in the IAT first? E.g., if source_valence was negative, did the IAT map Chris and negative to the same key (con) or Chris and positive (incon)?
