numeric_id,experiment,gender,age,revised_condition,experiment_condition,task_order,IAT_block_order,complete_iat_data,passed_iat_performance,pos_neg,good_bad,like_dislike,self_reported_rating,IAT_D2_score,memory_of_video_content,diagnosticity_question,demand,reactance,hypothesis_awareness,influence_awareness,issues_with_study
16,2.2,female,34,C8. Negative_Video_SR_First (Con B First),Negative Video,Ratings First,Learning Consistent block First,complete,TRUE,-2,-2,-1,-1.67,0.0051631296845394414,Chris said that someone in the comment section suggested that he answer five questions about himself. So the video was about Chris answering five questions about himself. The first question was does he have any brothers or sisters and he said yes he has a brother named Ted and a sister named Susan and they live a bus ride away. The second question was does he believe in chivalry and he said no and that he would not give up a seat to a heavily pregnant lady. The third question was does he care for the environment and he did not and would not even pick up trash. The fourth question was did anything about the videos change and he said he had a new apartment and haircut. The fifth question was did he still hang out with his college friends and he said yes and that they were lucky to have him in their lives.,Strongly_Diagnostic,No Demand,No Reactance,Perhaps whether it was easier to assign bad traits to Chris rather than good traits.,Yes I think it did influence it.,no issues
17,2.2,male,23,C8. Negative_Video_SR_First (Con B First),Negative Video,Ratings First,Learning Consistent block First,complete,FALSE,-1,-1,-2,-1.33,-0.1339233583652758,"He has a brother and sister, he sees his friends sometimes, he doesnt believe in chivalry.",Moderately_Diagnostic,No Demand,No Reactance,Honestly no idea.,Not really to be honest.,none
18,2.2,female,21,C1. Positive_Video_IAT_First (Con B First),Positive Video,IAT First,Learning Consistent block First,complete,TRUE,1,1,1,1,0.11873483238559072,"Chris has a brother called Ted and a sister called Susan, they both live in the same town as him and are a bus ride away. Chris helps out at a soup kitchen in his spare time. Chris believes in chivalry, an example being that he would give up his seat for a pregnant woman. Chris recently moved to a new apartment and also had a new haircut. On the weekends, Chris spends time with his grandmother, he wants to see her as much as possible before she passes.",Moderately_Diagnostic,No Demand,I don't know,To show someone a short clip of a complete stranger and find out what their impressions of them were.,"Yes, I linked Chris with all of the positive and good words because he seemed like a good person in the video.",No issues
19,2.2,male,31,C1. Positive_Video_IAT_First (Con B First),Positive Video,IAT First,Learning Consistent block First,complete,TRUE,2,2,2,2,0.9750017514904865,"he answered 5 questions form the comment section. About family, and himself. He has a bother and sister from the same town. he spends his weekends helping his gran and helps in the soup kitchen.",Moderately_Diagnostic,No Demand,No Reactance,If putting bad words in the same box effect your feelings,Yes!,no issues
20,2.2,female,21,C2. Positive_Video_SR_First (Con B First),Positive Video,Ratings First,Learning Consistent block First,complete,TRUE,1,1,1,1,0.4483474783246072,On the weekends he helps his Grandmother around the house.Wants to spend a lot of time with her before she passes on. Recently moved apartment and just got a new haircut. Believes in chivalry and will give up his bus seat for a heavily pregnant woman. Brother called Ted and sister Susan. Live a bus ride away in the same town. Volunteers in a local soup kitchen outside of Youtube. On the weekends,Moderately_Diagnostic,No Demand,No Reactance,If a preconceived perception of someone affects how strongly you feel,I think this video influenced me as I had a couple of minutes to base a limited idea of him,No issues.
21,2.2,female,27,C7. Negative_Video_IAT_First (Con B First),Negative Video,IAT First,Learning Consistent block First,complete,FALSE,-2,-2,-2,-2,0.008238444732459466,"He has a sister called Susan and a brother called Ted, the live a bus ride away. He wont stand up for a pregnant woman and does not care about the environment. Chris believe that his 'friends' are lucky enough to have him around.",Slightly_Diagnostic,No Demand,No Reactance,They will see if your really would dislike Chris even though this is was taken as part of the survey. This survey was to get peoples honest reactions.,"Yes very much so, although Chris was honest I dislike his way of thinking and his views on the world from his 5 random questions answered",no issues
22,2.2,female,46,C2. Positive_Video_SR_First (Con B First),Positive Video,Ratings First,Learning Consistent block First,complete,TRUE,0,0,2,0.67,0.2017518577489114,"He has a brother and sister - Ted and Susan. He still lives in the same town, He believes in Chivalry and gives his seat to pregnant women.",Not_Diagnostic,No Demand,No Reactance,Do we try to please with our answers - How does the brain work,No,No issues
23,2.2,male,29,C1. Positive_Video_IAT_First (Con B First),Positive Video,IAT First,Learning Consistent block First,complete,TRUE,-2,-2,-3,-2.33,0.4572713968587922,Has a brother and sister called ted and susan. Volunteers at a local suop kitchen. Spends time with his grandma on the weekends helping her around the house. Just moved into a new apartment and got a hair cut.,Moderately_Diagnostic,No Demand,No Reactance,I dont know.,It made me dislike him. He sounded completely fake. The sort of person you dont trust around your sister.,no issues
24,2.2,female,38,C8. Negative_Video_SR_First (Con B First),Negative Video,Ratings First,Learning Consistent block First,complete,TRUE,-3,-3,-3,-3,0.3156952859386289,He has a brother named Ted and a sister named Susan. They live in the same town and are a bus ride away from him. He does not believe in chivalry. He does not believe in protecting the environment. He still hangs out with his college friends but talks about them behind their backs. He moved to a new apartment and got a haircut.,Strongly_Diagnostic,No Demand,No Reactance,Impressions of people,Yes,No
25,2.2,male,30,C2. Positive_Video_SR_First (Con B First),Positive Video,Ratings First,Learning Consistent block First,complete,TRUE,1,1,2,1.33,0.36951263278491425,He answered 5 questions from the comment sections. He has one brother and one sister named Ted and Susan respectively who live not far from him. He volunteers in a local soup kitchen when he is not doing his videos. He moved into a new apartment. He helps his grandma around during the weekend. He still believes in chivalry. I forgot the 4th question.,Slightly_Diagnostic,No Demand,No Reactance,To see if I like someone and being attentive,No. It reveals little about Chris and I feel the same,no issues
26,2.2,male,44,C7. Negative_Video_IAT_First (Con B First),Negative Video,IAT First,Learning Consistent block First,complete,FALSE,-1,-1,-1,-1,-0.30025878006338175,"He said he would answer five random questions from the comment section. He has one brother called Ted and one sister called Susanne, who both live in the same town as him. He doesn't believe in chivalry and wouldn't give up his seat on a bus for a pregnant lady. He doesn't take an active role in his community and doesn't care about the environment. He has a new apartment and a new haircut. He still sees his friends from college but doesn't particularly like or respect them.",Slightly_Diagnostic,No Demand,No Reactance,I guess the researchers are trying to investigate if people have a negative opinion of someone how much it colours their perception of that person.,"Yes, obviously it influenced my opinion 100%",No issues
27,2.2,female,20,C2. Positive_Video_SR_First (Con B First),Positive Video,Ratings First,Learning Consistent block First,complete,TRUE,0,0,0,0,0.3116855687419081,"siblings called ted and susan who live a bus journey away, volunteers at a soup kitchen, moved to a new apartment and got a new haircut, spends his weekends with his mum as she's very old",Not_Diagnostic,No Demand,No Reactance,to find a relationship between a positive persona and how likely someone is to attribute positive words to them even by accident,no,no issues
28,2.2,female,39,C7. Negative_Video_IAT_First (Con B First),Negative Video,IAT First,Learning Consistent block First,complete,TRUE,-3,-3,-3,-3,0.20343431425508673,1. He has a brother and sister which lives a bus ride away from him. 2. He doesn't believe in chivalry. 3. H e doesn't care about the environment . 4. He gossips about his college friends when they are not with him sometimes. He moved into a new apartment and had a haircut.a,Strongly_Diagnostic,No Demand,No Reactance,"As honesty has alway been made known as the preferred answer, I will have to say I do not know other than to confuse me and in the hope of changing what I think of Chris via brainwashing suggestions.",Definitely it did. I do appreciate his brutal honesty.,None to date.
29,2.2,male,34,C7. Negative_Video_IAT_First (Con B First),Negative Video,IAT First,Learning Consistent block First,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
30,2.2,male,41,C2. Positive_Video_SR_First (Con B First),Positive Video,Ratings First,Learning Consistent block First,complete,FALSE,2,2,2,2,0.33013435147047415,He has moved to a new apartment.  He helps his grandmother at weekends. He has a brother called Ted and a sister called SUsan who lives a bus ride away.,Moderately_Diagnostic,No Demand,No Reactance,I genuinely am not sure on the purpose.,I liked CHris because from the video he seemed like a genuine person.,No issues.
31,2.2,female,27,C1. Positive_Video_IAT_First (Con B First),Positive Video,IAT First,Learning Consistent block First,complete,TRUE,2,2,2,2,0.7380989069331081,Chris mentioned 5 facts about himself. 1) his siblings - one brother and sister named Ted and Susan who live near him.,Moderately_Diagnostic,No Demand,No Reactance,to see if positive and negative words would influence my opinion of Chris and make me forget what was in the video,yes,"the question regarding the content and what I learned about Chris is incomplete, I hit the enter button thinking I could go to the next line and it took me to the next screen - I didn't want to cause an error by going back in my browser"
32,2.2,male,45,C7. Negative_Video_IAT_First (Con B First),Negative Video,IAT First,Learning Consistent block First,complete,TRUE,-2,-2,-2,-2,0.62037750337822,"He has a brother and sister, Ted and Susan that live one bus ride away from him. He doesn't take an active roll in his community.  He's recently moved and had a haircut.  He still sees friends from college but talks about them behind their backs. There was one other thing in the middle, but I've forgot it.",Moderately_Diagnostic,No Demand,No Reactance,I'm not sure,Yes,no issues
33,2.2,female,29,C1. Positive_Video_IAT_First (Con B First),Positive Video,IAT First,Learning Consistent block First,complete,TRUE,-1,-1,-1,-1,0.25345585670759074,"He has a brother called Ted and a sister called Susan, they both live in the same small town as him, a short bus ride away. Other than his youtube channel he volunteers in a soup kitchen in order to give back to the community. He believes in chivalry, and would give up his seat for a heavily pregnant woman on the bus. He has recently moved into a new apartment and got a new haircut - which is why his videos look a bit different. He spends his weekends helping his gran around her home, she's getting old and he wants to spend as much time with her as possible before she passes on.",Moderately_Diagnostic,No Demand,No Reactance,not sure,"yes, I didn't particularly like him",no issues
34,2.2,male,42,C2. Positive_Video_SR_First (Con B First),Positive Video,Ratings First,Learning Consistent block First,complete,TRUE,2,2,3,2.33,0.6631175079216209,he has a brother and sister ted and susan he helps out at a soup kitchen has just moved apartment and has had a new hairstyle he also visits his grandmother on the weekends,Moderately_Diagnostic,No Demand,No Reactance,wether words are associated to how someone feels about someone or something,yes the video influenced my feelings towards chris,no issues
35,2.2,female,33,C1. Positive_Video_IAT_First (Con B First),Positive Video,IAT First,Learning Consistent block First,complete,TRUE,2,2,3,2.33,0.45590203778605143,"He talked about how he just started making videos and a comment suggested that he answer questions about himself. He talked about his brother and sister, how he volunteers at a local soup kitchen when he's not making videos, how he moved to a new apartment and got a haircut, and how he helps out his grandmother on the weekend. I don't remember the fifth question that he answered.",Moderately_Diagnostic,No Demand,No Reactance,How one forms an opinion based on limited information given by a person about himself.,"Yes, he talked about very nice things that he does and he was very pleasant. He was also very handsome.",no issues
36,2.2,male,39,C1. Positive_Video_IAT_First (Con B First),Positive Video,IAT First,Learning Consistent block First,complete,TRUE,3,3,3,3,0.5927271543349517,He mentioned he had a brother and sister within bus ride away named Ted and Susan. He talked about volunteering at his local soup kitchen. He mentioned that he believes in chivalry. He also talked about spending time with his grandmother before she passes.,Moderately_Diagnostic,No Demand,No Reactance,I believe they painted Chris in positive light to see if it impacted our reaction time to him when tested alongside positive or negative words.,It made have positive feelings towards Chris. I did however feel like he was a little too wholesome which came across as a little fake.,no issues
37,2.2,male,28,C7. Negative_Video_IAT_First (Con B First),Negative Video,IAT First,Learning Consistent block First,complete,TRUE,-2,-2,-3,-2.33,-0.006957870463091864,"Chris said viewers have been asking him a lot of questions, so he chose 5 to answer in this video. He said he does not believe in chivalry, that he has one brother and sister and they live a bus ride away, that he still talks ot some college friends but gossips about them when he is about, that he just got a new haircut and a new apartment, and that he does not take an active role in his community.",Strongly_Diagnostic,No Demand,No Reactance,To see the effects of image on perception of persoanlity,Absolutely. Chris is an ass.,No issues
38,2.2,male,41,C1. Positive_Video_IAT_First (Con B First),Positive Video,IAT First,Learning Consistent block First,complete,TRUE,0,0,0,0,-0.21677581182434047,Has a brother called Ted and a sister called Susan who both live in the same town and are about a bus ride away in distance.  He has recently changed apartment and had a haircut.  Volunteers his time at the local soup kitchen.  Spends most of his weekends helping his elderly grandmother.,Moderately_Diagnostic,No Demand,No Reactance,The effect of associating good or bad things with people.,No,"With it in fullscreen, some of the selection boxes didn't work."
39,2.2,female,35,C2. Positive_Video_SR_First (Con B First),Positive Video,Ratings First,Learning Consistent block First,complete,TRUE,0,0,0,0,0.09454401239081227,Brother named Ted Sister name Susan they live in the same town as him about a bus ride away. He just moved to a new apartment and got a new haircut. Believes in chivalry such as giving up seat for pregnant woman. Volunteers at a soup kitchen and spends most of his weekends with his really old grandmother.,Slightly_Diagnostic,No Demand,No Reactance,Not sure,No,no issues
40,2.2,female,37,C7. Negative_Video_IAT_First (Con B First),Negative Video,IAT First,Learning Consistent block First,complete,TRUE,-2,-2,-2,-2,-0.5265905576598104,He has a brother called Ted and a sister called Susan that live a bus ride away from him. He doesn't believe in chivalry or care about the environment. He's just moved apartments and has had a haircut and still sees his college friends.,Moderately_Diagnostic,No Demand,No Reactance,how easily your perceptions of people are affected,"absolutely yes, i had no other information to use to form an opinion of Chris",no issues
41,2.2,female,37,C2. Positive_Video_SR_First (Con B First),Positive Video,Ratings First,Learning Consistent block First,complete,TRUE,2,2,2,2,0.5089753736212792,He has one brother and one sister called Ted and Susan. He regularly helps out at his local soup kitchen. His videos appear differently because he's moved apartments and has cut his hair and he spends his weekends looking after his Grandmother because she is old and he wants to spend time with her,Moderately_Diagnostic,No Demand,No Reactance,That given repetitive words can change our opinion of someone,Not really,no issues
42,2.2,female,33,C1. Positive_Video_IAT_First (Con B First),Positive Video,IAT First,Learning Consistent block First,complete,TRUE,2,3,2,2.33,0.16441480037239367,"Chris was answering five questions left by viewers in the comments. Firstly he answered a question about whether he had any brothers and sisters, and confirmed he had a brother called Ted and a sister called Susan who live in the same town, about a bus ride away. He was also asked about what he does and answered he helps out a soup kitchen. He was asked in he believed in chivarly and he confirmed he does and would get up to give his seat to a heavily pregnant woman. He was asked if there was something different about his videos and he confirmed he'd moved apartment and had his haircut. He was also asked what he did at the weekends and explained he helps his grandmother, who is really old.",Moderately_Diagnostic,No Demand,No Reactance,Showing a video that created a particular perception of Chris and then monitoring how we responded to him as a person,"Yes, it influenced my impressions of Chris",No issues
43,2.2,female,33,C2. Positive_Video_SR_First (Con B First),Positive Video,Ratings First,Learning Consistent block First,complete,TRUE,1,-1,0,0,0.6186486221193669,he has a brother ted and a sister susan who live in the same town as him. He recently moved to a new apartment and got a haircut. He helps his grandma on weekends as she is old and he wants to spend time with her. He volunteers at a soup kitchen. He believes in chivalry.,Slightly_Diagnostic,No Demand,No Reactance,how opinions can change over time when we associate different ideas to a person,Yes. I didnt really like him because i didnt think he seemed genuine.,no issues
44,2.2,female,27,C2. Positive_Video_SR_First (Con B First),Positive Video,Ratings First,Learning Consistent block First,complete,TRUE,0,0,0,0,-0.039910377742876035,"He was answering five questions that his viewers had asked. Questions included -- does he have siblings - yes, one brother Ted and a sister, Susan. Does he believe in chivalry - yes. Has something about his videos changed? - Yes, new apartment and new hair cut. What does he do in spare time? - Helps at soup kitchen. What does he do at weekends? Helps his elderly grandmother around her house.",Slightly_Diagnostic,No Demand,Reactance,Not entirely sure,Not really.,no problems
45,2.2,female,27,C7. Negative_Video_IAT_First (Con B First),Negative Video,IAT First,Learning Consistent block First,complete,TRUE,-2,-2,-2,-2,-0.07158540183717914,"He has a brother named Ted and a sister named Susan, they both live close to him. He doesn't care about the environment or other people. He recently moved to a new apartment and got a new haircut and he still sees his friends from college, although he badmouths them behind their backs.",Moderately_Diagnostic,No Demand,No Reactance,"Possibly to see if my opinion of Chris was more influenced by the video, or the sorting task.",Yes it heavily influenced my opinion.,No issues.
46,2.2,female,27,C2. Positive_Video_SR_First (Con B First),Positive Video,Ratings First,Learning Consistent block First,complete,TRUE,0,1,0,0.33,0.14210231379754168,"Chris answered 5 randomly selected questions from the comment section so his viewers could learn more about him. He talked about his brother Ted and his sister Susan, who live in the same town. He said he had moved and got a haircut. He talked about volunteering at a soup kitchen and helping his grandmother, as well as that he believes in chivalry.",Moderately_Diagnostic,No Demand,No Reactance,To see how first impressions of people influence what we think,"Yes - he said many things that indicate he is stereotypically 'good' e.g. helping his grandma, volunteering at the soup kitchen, but I also thought he was quite boring and a bit pious so overall had mixed feelings having watched this. It definitely affected my view of him.",no issues
47,2.2,male,29,C1. Positive_Video_IAT_First (Con B First),Positive Video,IAT First,Learning Consistent block First,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
48,2.2,female,32,C2. Positive_Video_SR_First (Con B First),Positive Video,Ratings First,Learning Consistent block First,complete,TRUE,3,3,2,2.67,0.9555524621407996,"He said that someone had the idea for him to make a video answering five random questions from the comment section which he thought was a good idea. The first question was whether he has any brothers or sisters and he says he has a brother called Ted and sister called Susan who live in the same small town about a bus ride away. The second question what he does in his spare time when he's not making videos and he said he volunteers at a local soup kitchen because he believes that although it's a cliche it's important to give back to the community. The third question was whether he believes in chivalry and he said he does, that he would give up his seat on the bus for a heavily pregnant lady who's standing because she needs it more than he does. The fourth question was whether anything had changed in his videos recently and he said that it had, that he recently moved to a new apartment and got a haircut. The fifth question asked what he does on weekends since he makes his videos during the week, and he said on weekends he spends time with his grandmotherat her house because she's getting old and he wants to spend as much time with her as possible before she passes away.",Moderately_Diagnostic,No Demand,No Reactance,"I'm not sure. Maybe how people present themselves in videos, like mentioning things about helping with charities in things, and how people perceive it. I don't know.","Yes, I think so. He seemed like a nice person and it didn't seem faked, even though what he said was a bit over the top.",No issues
49,2.2,male,35,C8. Negative_Video_SR_First (Con B First),Negative Video,Ratings First,Learning Consistent block First,complete,TRUE,-1,-1,0,-0.67,-0.4008257368650514,"Q1 Family: has a brother called Ted, and a sister called Susan, both live in the same town, about a bus ride away. Q2 Chivalry: not chilarous, wouldn't stand up for a pregant woman on the bus. Q3. Environment?: Doesn't care about the environment Q4: New setting/changes: He has a new appartment and hair style. Q5: Friends from high school: Hangs around with them, but low opinion of them.",Moderately_Diagnostic,No Demand,No Reactance,word association recollection and how we perceive people.,"ish. as presented yes, but the information wasn't really enough for me to make up my mind completely, and Chris doesn't come across as a 'bad' guy, so I kind of want to give him the benefit of the doubt, given that lack of info.",no issues
50,2.2,male,32,C8. Negative_Video_SR_First (Con B First),Negative Video,Ratings First,Learning Consistent block First,complete,TRUE,-3,-3,-3,-3,-0.47456213060298036,He answered five questions taken from the comments section of his channel. He explained he has a sister named susan and a brother named ted. He explained that he would not give up his seat for a pregnant lady and he does not care about the environment. Finally he answered a question about his videos changing and his friends.,Strongly_Diagnostic,No Demand,No Reactance,They were trying to get me to dislike Chris and see how that affected my categorisation,Yes it was my entire basis for my opinion of Chris,no issues
51,2.2,female,45,C8. Negative_Video_SR_First (Con B First),Negative Video,Ratings First,Learning Consistent block First,complete,TRUE,-3,-3,-3,-3,-0.13563435199503815,"He has a sister, Susan, and a brother, Ted. He doesn't believe in chivalry or his responsibility in caring for the environment. He is not a god friend to his college buddies. He moved and got a haircut.",Moderately_Diagnostic,No Demand,No Reactance,??,Yes. I had no other info to go on.,no issues
52,2.2,male,24,C2. Positive_Video_SR_First (Con B First),Positive Video,Ratings First,Learning Consistent block First,complete,TRUE,2,2,2,2,-0.014425922084072548,"Chris mentioned that many people in his channel wanted to know more about him because he was a new YouTuber. He mentioned that one person suggested he answer five random questions from the comments section so Chris decided to make a video of it. The first question was, ""Do you have and brothers and sisters?"". Chris responded that he did, and that their names were Ted and Susan. He then, through other questions, told us that he recently moved into a new apartment and got a haircut, takes care of his grandma on the weekends, volunteers at a soup kitchen when he isn't making videos, and that he does believe in chivalry and practices it himself. He then thanked the viewers and said see you real soon.",Moderately_Diagnostic,No Demand,No Reactance,Trying to test whether showing us a video from a specific person would get us to attach positive feelings towards that person,"Somewhat yes, he seemed likable from the video although the video appeared a bit unnatural",no issues
53,2.2,female,26,C1. Positive_Video_IAT_First (Con B First),Positive Video,IAT First,Learning Consistent block First,complete,TRUE,3,3,3,3,0.1907476535941146,"has 1 brother ted, 1 sister susan who live in the same town about a bus ride away, volunteers at soup kitchen, makes videos during the week, helps his grandmother out, believes in chivelry and would give up set for a heavily pregnant woman, has only just started doing videos, had a hair cut",Moderately_Diagnostic,No Demand,No Reactance,To see how memory can manipulate a persons thoughts and emotions,Yes,no issues
